Puzzle,Response
1 1 11 11,1 + 11 = 12 (left: 1 11 12)\n1 + 11 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: (1 + 11) + (1 + 11) = 24
6 6 6 6,6 + 6 = 12 (left: 6 6 12)\n12 - 6 = 6 (left: 6 6)\n6 * 6 = 36 (left: 36)\n6 + 6 = 12 (left: 6 6 12)\n12 / 6 = 2 (left: 6 2)\n6 * 2 = 12 (left: 12)\n6 + 6 = 12 (left: 6 6 12)\n6 + 6 = 12 (left: 12 12)\n12 + 12 = 24 (left: 24)\nAnswer: (6 + 6) + (6 + 6) = 24
1 2 2 6,1 + 2 = 3 (left: 2 3 6)\n2 * 6 = 12 (left: 3 12)\n3 * 12 = 36 (left: 36)\n1 * 2 = 2 (left: 2 2 6)\n2 * 2 = 4 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer:  (1 * 2) * (2 * 6) = 24
1 1 1 12,1 + 1 = 2 (left: 1 2 12)\n12 - 2 = 10 (left: 1 10)\n1 + 10 = 11 (left: 11)\n1 * 12 = 12 (left: 1 1 12)\n1 + 1 = 2 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: ((1 + 1) * (1 * 12)) = 24
4 6 11 11,11 - 4 = 7 (left: 6 11 7)\n11 - 7 = 4 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (11 - (11 - 4)) * 6 = 24
1 1 2 6,6 + 1 = 7 (left: 1 2 7)\n7 - 1 = 6 (left: 2 6)\n6 * 2 = 12 (left: 12)\n6 * 2 = 12 (left: 1 1 12)\n12 * 1 = 12 (left: 1 12)\n12 * 1 = 12 (left: 12)\n6 * 2 = 12 (left: 1 1 12)\n1 + 1 = 2 (left: 2 12)\n12 * 2 = 24 (left: 24)\nAnswer: (6 * 2) * (1 + 1) = 24
1 2 3 4,1 + 2 = 3 (left: 3 3 4)\n3 + 3 = 6 (left: 6 4)\n6 * 4 = 24 (left: 24)\nAnswer: (1 + 2 + 3) * 4 = 24
11 11 12 12,12 + 12 = 24 (left: 11 11 24)\n11 / 11 = 1 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer:  (12 + 12) * (11 / 11) = 24
1 1 3 6,1 + 3 = 4 (left: 1 4 6)\n4 * 6 = 24 (left: 1 24)\n24 * 1 = 24 (left: 24)\nAnswer: (1 * (1 + 3)) * 6 = 24
4 6 13 13,13 - 6 = 7 (left: 4 7 13)\n13 - 7 = 6 (left: 4 6)\n4 * 6 = 24 (left: 24)\nAnswer: 4 * ((13 - (13 - 6))) = 24
