Rank,Puzzle,Response
3,1 1 3 8,1 + 1 = 2 (left: 2 3 8)\n2 + 8 = 10 (left: 3 10)\n10 + 3 = 13 (left: 13)\n
11,1 1 2 8,1 + 1 = 2 (left: 2 2 8)\n2 + 2 = 4 (left: 4 8)\n8 * 4 = 32 (left: 32)\n1 + 1 = 2 (left: 2 2 8)\n2 + 8 = 10 (left: 2 10)\n2 * 8 = 16 (left: 1 1 16)\n16 - 1 = 15 (left: 1 15)\n1 + 1 = 2 (left: 2 2 8)\n2 * 8 = 16 (left: 2 16)\n16 - 2 = 14 (left: 14)\n2 * 8 = 16 (left: 1 1 16)\n16 - 1 = 15 (left: 1 15)\n1 * 8 = 8 (left: 1 2 8)\n
13,1 1 5 8,1 + 1 = 2 (left: 2 5 8)\n2 + 8 = 10 (left: 5 10)\n5 * 10 = 50 (left: 50)\n8 - 1 = 7 (left: 1 5 7)\n5 + 1 = 6 (left: 6 7)\n6 * 7 = 42 (left: 42)\n5 * 1 = 5 (left: 1 5 8)\n5 + 8 = 13 (left: 1 13)\n8 / 1 = 8 (left: 1 5 8)\n8 - 5 = 3 (left: 1 3)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n2 * 13 = 26 (left: 26)\n5 - 1 = 4 (left: 1 4 8)\n4 + 8 = 12 (left: 1 12)\n1 * 12 = 12 (left: 12)\n5 + 8 = 13 (left: 1 1 13)\n1 * 1 = 1 (left: 1 13)\n13 - 1 = 12 (left: 12)\n1 + 5 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n1 + 5 = 6 (left: 1 6 8)\n6 + 8 = 14 (left: 1 14)\n1 * 14 = 14 (left: 14)\n8 - 1 = 7 (left: 1 5 7)\n7 - 5 = 2 (left: 1 2)\n8 - 5 = 3 (left: 1 1 3)\n1 + 1 = 2 (left: 2 3)\n1 + 5 = 6 (left: 1 6 8)\n8 - 1 = 7 (left: 6 7)\n5 + 8 = 13 (left: 1 1 13)\n1 * 1 = 1 (left: 1 13)\n13 + 1 = 14 (left: 14)\n8 / 1 = 8 (left: 1 5 8)\n8 + 1 = 9 (left: 5 9)\n5 * 9 = 45 (left: 45)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n1 + 8 = 9 (left: 1 5 9)\n9 - 1 = 8 (left: 5 8)\n5 + 8 = 13 (left: 13)\n1 + 8 = 9 (left: 1 5 9)\n9 - 5 = 4 (left: 1 4)\n1 + 8 = 9 (left: 1 5 9)\n9 + 5 = 14 (left: 1 14)\n14 - 1 = 13 (left: 13)\n1 + 5 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n1 + 5 = 6 (left: 1 6 8)\n6 * 8 = 48 (left: 1 48)\n48 - 1 = 47 (left: 47)\n5 * 1 = 5 (left: 1 5 8)\n5 + 8 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n5 + 1 = 6 (left: 1 6 8)\n6 * 8 = 48 (left: 1 48)\n48 - 1 = 47 (left: 47)\n5 + 1 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n5 + 8 = 13 (left: 1 1 13)\n1 * 1 = 1 (left: 1 13)\n13 + 1 = 14 (left: 14)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 + 1 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n8 - 1 = 7 (left: 1 5 7)\n5 + 1 = 6 (left: 6 7)\n6 * 7 = 42 (left: 42)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n5 - 1 = 4 (left: 1 4 8)\n4 + 8 = 12 (left: 1 12)\n1 * 12 = 12 (left: 12)\n8 - 1 = 7 (left: 1 5 7)\n7 - 5 = 2 (left: 1 2)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n1 + 5 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n1 + 8 = 9 (left: 1 5 9)\n9 + 5 = 14 (left: 1 14)\n1 * 14 = 14 (left: 14)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 + 1 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n8 - 1 = 7 (left: 1 5 7)\n7 - 5 = 2 (left: 1 2)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n8 - 1 = 7 (left: 1 5 7)\n7 - 5 = 2 (left: 1 2)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 + 1 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n5 - 1 = 4 (left: 1 4 8)\n4 + 8 = 12 (left: 1 12)\n1 * 12 = 12 (left: 12)\n8 - 1 = 7 (left: 1 5 7)\n7 - 5 = 2 (left: 1 2)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n5 - 1 = 4 (left: 1 4 8)\n4 + 8 = 12 (left: 1 12)\n1 * 12 = 12 (left: 12)\n5 + 1 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n1 + 8 = 9 (left: 1 5 9)\n9 + 5 = 14 (left: 1 14)\n1 * 14 = 14 (left: 14)\n1 + 8 = 9 (left: 1 5 9)\n9 - 5 = 4 (left: 1 4)\n1 + 8 = 9 (left: 1 5 9)\n9 + 5 = 14 (left: 1 14)\n1 * 14 = 14 (left: 14)\n1 + 5 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n5 + 1 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n5 + 1 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n1 + 8 = 9 (left: 1 5 9)\n9 + 5 = 14 (left: 1 14)\n1 * 14 = 14 (left: 14)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n1 + 5 = 6 (left: 1 6 8)\n8 - 6 = 2 (left: 1 2)\n8 - 1 = 7 (left: 1 5 7)\n7 - 5 = 2 (left: 1 2)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n8 - 1 = 7 (left: 1 5 7)\n7 - 5 = 2 (left: 1 2)\n8 / 1 = 8 (left: 1 5 8)\n8 + 5 = 13 (left: 1 13)\n13 - 1 = 12 (left: 12)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n5 * 8 = 40 (left: 1 1 40)\n1 + 1 = 2 (left: 2 40)\n40 - 2 = 38 (left: 38)\n5 + 8 = 13 (left: 1 1 13)\n1 + 1 = 2 (left: 2 13)\n13 - 2 = 11 (left: 11)\n
18,1 1 12 12,12 - 1 = 11 (left: 1 11 12)\n11 + 1 = 12 (left: 12 12)\n12 * 12 = 144 (left: 144)\n
28,1 1 3 9,1 + 1 = 2 (left: 2 3 9)\n2 * 3 = 6 (left: 6 9)\n6 * 9 = 54 (left: 54)\n
69,11 11 11 13,11 - 11 = 0 (left: 11 13 0)\n11 + 13 = 24 (left: 0 24)\n
78,2 2 4 6,2 * 6 = 12 (left: 2 4 12)\n2 + 12 = 14 (left: 4 14)\n14 + 4 = 18 (left: 18)\n2 + 2 = 4 (left: 4 6 4)\n4 + 4 = 8 (left: 6 8)\n8 * 6 = 48 (left: 48)\n2 * 4 = 8 (left: 2 6 8)\n6 - 2 = 4 (left: 4 8)\n8 * 4 = 32 (left: 32)\n
79,1 6 7 12,1 + 12 = 13 (left: 6 7 13)\n6 + 7 = 13 (left: 13 13)\n13 + 13 = 26 (left: 26)\n
80,1 8 9 12,12 - 8 = 4 (left: 1 9 4)\n4 * 9 = 36 (left: 1 36)\n
91,3 7 8 8,3 + 8 = 11 (left: 7 8 11)\n7 + 8 = 15 (left: 11 15)\n3 * 8 = 24 (left: 7 8)\n8 / 8 = 1 (left: 3 7 1)\n3 + 1 = 4 (left: 4 7)\n7 - 3 = 4 (left: 4 8 8)\n4 + 8 = 12 (left: 8 12)\n8 / 8 = 1 (left: 3 7 1)\n3 + 1 = 4 (left: 4 7)\n8 * 3 = 24 (left: 7 8)\n8 / 8 = 1 (left: 3 7 1)\n3 + 1 = 4 (left: 4 7)\n8 - 3 = 5 (left: 5 7 8)\n5 + 7 = 12 (left: 8 12)\n8 / 8 = 1 (left: 3 7 1)\n3 + 1 = 4 (left: 4 7)\n3 + 7 = 10 (left: 8 8 10)\n8 + 8 = 16 (left: 10 16)\n8 / 8 = 1 (left: 3 7 1)\n3 + 1 = 4 (left: 4 7)\n3 + 7 = 10 (left: 8 8 10)\n8 * 3 = 24 (left: 7 8)\n8 / 8 = 1 (left: 3 7 1)\n3 + 1 = 4 (left: 4 7)\n8 * 3 = 24 (left: 7 8)\n3 * 8 = 24 (left: 7 8)\n
